factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,10,10,10,86,116,8.6,17.2,25.9,80.0,77.0
father_w,コパノリッキー,2,0,0,2,4,50.0,50.0,50.0,487.0,145.0
father_w,ブリックスアンドモルタル,1,0,1,1,3,33.3,33.3,66.7,225.0,142.0
father_w,ハービンジャー,1,0,0,2,3,33.3,33.3,33.3,402.0,67.0
father_w,ハーツクライ,1,0,1,1,3,33.3,33.3,66.7,180.0,128.0
father_w,ヘニーヒューズ,1,0,0,2,3,33.3,33.3,33.3,184.0,63.0
father_w,ドゥラメンテ,1,0,1,0,2,50.0,50.0,100.0,232.0,176.0
father_w,ダンカーク,1,0,0,0,1,100.0,100.0,100.0,160.0,110.0
father_w,フリオーソ,1,0,0,0,1,100.0,100.0,100.0,710.0,230.0
father_w,ルヴァンスレーヴ,1,0,0,0,1,100.0,100.0,100.0,360.0,150.0
father_w,キングカメハメハ,0,1,1,4,6,0.0,16.7,33.3,0.0,122.0
jockey_w,横山和生,1,0,0,4,5,20.0,20.0,20.0,177.0,48.0
jockey_w,佐々木大輔,1,0,0,3,4,25.0,25.0,25.0,150.0,63.0
jockey_w,C.ルメール,1,1,0,2,4,25.0,50.0,50.0,77.0,102.0
jockey_w,角田大和,1,1,0,2,4,25.0,50.0,50.0,127.0,95.0
jockey_w,横山武史,1,0,1,2,4,25.0,25.0,50.0,135.0,96.0
jockey_w,藤岡佑介,1,0,0,2,3,33.3,33.3,33.3,336.0,124.0
jockey_w,黛弘人,1,0,0,2,3,33.3,33.3,33.3,1331.0,388.0
jockey_w,横山琉人,1,0,0,0,1,100.0,100.0,100.0,610.0,210.0
jockey_w,C.ウィリアムズ,1,0,0,0,1,100.0,100.0,100.0,2170.0,360.0
jockey_w,勝浦正樹,1,0,0,0,1,100.0,100.0,100.0,710.0,230.0
frame,1枠,1,0,0,9,10,10.0,10.0,10.0,161.0,47.0
frame,2枠,0,2,1,7,10,0.0,20.0,30.0,0.0,78.0
frame,3枠,0,1,1,8,10,0.0,10.0,20.0,0.0,39.0
frame,4枠,1,1,1,7,10,10.0,20.0,30.0,72.0,115.0
frame,5枠,0,1,3,14,18,0.0,5.6,22.2,0.0,62.0
frame,6枠,1,1,2,15,19,5.3,10.5,21.1,45.0,57.0
frame,7枠,4,1,2,12,19,21.1,26.3,36.8,207.0,115.0
frame,8枠,3,3,0,14,20,15.0,30.0,30.0,173.0,96.0
averunningstyle,逃げ,0,1,0,2,3,0.0,33.3,33.3,0.0,102.0
averunningstyle,先行,3,2,3,18,26,11.5,19.2,30.8,74.0,71.0
averunningstyle,差し,1,0,0,3,4,25.0,25.0,25.0,96.0,40.0
averunningstyle,追込,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,500m以上延長,6,4,3,43,56,10.7,17.9,23.2,114.0,87.0
distance,300m-400m延長,2,0,0,15,17,11.8,11.8,11.8,115.0,55.0
distance,100m-200m延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,距離変更なし,1,5,6,21,33,3.0,18.2,36.4,22.0,69.0
distance,100m-200m短縮,1,1,1,7,10,10.0,20.0,30.0,125.0,108.0
distance,300m-400m短縮,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,500m以上短縮,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
surface,ダ→ダ,9,8,9,72,98,9.2,17.3,26.5,80.0,76.0
surface,芝→ダ,1,2,1,14,18,5.6,16.7,22.2,80.0,89.0
stable_trainer,美浦,6,4,5,40,55,10.9,18.2,27.3,95.0,78.0
stable_trainer,栗東,4,6,5,46,61,6.6,16.4,24.6,64.0,76.0
